reading,time_ms,adc_value,voltage_v
1,1201771,3928,3.165
2,1202900,3867,3.116
3,1204029,3919,3.158
4,1205150,3863,3.113
5,1206280,3887,3.132
6,1207409,3909,3.150
7,1208540,3893,3.137
8,1209659,3941,3.176
9,1210780,3901,3.144
10,1211900,3923,3.161
